Model,MAE,RMSE,sMAPE (%),WAPE (%)
Seasonal Naive - Lag 7,1.205351871808087,2.660111796733238,79.64941493664593,86.93903310674149
XGBoost,0.9940287688844754,2.0222801020353085,140.2892960916571,71.69682320023846
